media_id,file_name,relative_path,captured_date,captured_time,media_type,component_group,specific_component,stage,observed_state,confidence,tags,notes
20260329_122855_gp_B94NpLbg,20260329_122855_gp_B94NpLbg.jpg,photos/20260329_122855_gp_B94NpLbg.jpg,2026-03-29,12:28:55,photo,interior_cabin,cabin_view_through_glass,baseline_walkaround,assembled,high,interior|window_view,
20260331_030439_gp_Hm0ga9nQ,20260331_030439_gp_Hm0ga9nQ.jpg,photos/20260331_030439_gp_Hm0ga9nQ.jpg,2026-03-31,03:04:39,photo,chassis_underside,frame_floor_underside_and_lines,underside_inspection,inspection_in_progress,high,frame|underside|floor,
20260331_224409,20260331_224409.jpg,photos/20260331_224409.jpg,2026-03-31,22:44:09,photo,chassis_underside,frame_floor_underside_and_lines,underside_inspection,inspection_in_progress,high,frame|underside|floor,
20260331_224411_gp_xotdHr5w,20260331_224411_gp_xotdHr5w.jpg,photos/20260331_224411_gp_xotdHr5w.jpg,2026-03-31,22:44:11,photo,chassis_underside,frame_floor_underside_and_lines,underside_inspection,inspection_in_progress,high,frame|underside|floor,
20260331_224415,20260331_224415.jpg,photos/20260331_224415.jpg,2026-03-31,22:44:15,photo,chassis_underside,frame_floor_underside_and_lines,underside_inspection,inspection_in_progress,high,frame|underside|floor,
20260331_224416_gp_HZ3sjkkA,20260331_224416_gp_HZ3sjkkA.jpg,photos/20260331_224416_gp_HZ3sjkkA.jpg,2026-03-31,22:44:16,photo,chassis_underside,frame_floor_underside_and_lines,underside_inspection,inspection_in_progress,high,frame|underside|floor,
20260331_224423,20260331_224423.jpg,photos/20260331_224423.jpg,2026-03-31,22:44:23,photo,chassis_underside,frame_floor_underside_and_lines,underside_inspection,inspection_in_progress,high,frame|underside|floor,
20260331_224424_gp_whE84rpw,20260331_224424_gp_whE84rpw.jpg,photos/20260331_224424_gp_whE84rpw.jpg,2026-03-31,22:44:24,photo,chassis_underside,frame_floor_underside_and_lines,underside_inspection,inspection_in_progress,high,frame|underside|floor,
20260331_224428,20260331_224428.jpg,photos/20260331_224428.jpg,2026-03-31,22:44:28,photo,chassis_underside,frame_floor_underside_and_lines,underside_inspection,inspection_in_progress,high,frame|underside|floor,
20260331_224429_gp_4RQp2E6A,20260331_224429_gp_4RQp2E6A.jpg,photos/20260331_224429_gp_4RQp2E6A.jpg,2026-03-31,22:44:29,photo,chassis_underside,frame_floor_underside_and_lines,underside_inspection,inspection_in_progress,high,frame|underside|floor,
20260331_224431,20260331_224431.jpg,photos/20260331_224431.jpg,2026-03-31,22:44:31,photo,chassis_underside,frame_floor_underside_and_lines,underside_inspection,inspection_in_progress,high,frame|underside|floor,
20260331_224433_gp_2PUeZk7w,20260331_224433_gp_2PUeZk7w.jpg,photos/20260331_224433_gp_2PUeZk7w.jpg,2026-03-31,22:44:33,photo,chassis_underside,frame_floor_underside_and_lines,underside_inspection,inspection_in_progress,high,frame|underside|floor,
20260331_224436,20260331_224436.jpg,photos/20260331_224436.jpg,2026-03-31,22:44:36,photo,chassis_underside,frame_floor_underside_and_lines,underside_inspection,inspection_in_progress,high,frame|underside|floor,
20260331_224438_gp_0bs8KC2A,20260331_224438_gp_0bs8KC2A.jpg,photos/20260331_224438_gp_0bs8KC2A.jpg,2026-03-31,22:44:38,photo,chassis_underside,frame_floor_underside_and_lines,underside_inspection,inspection_in_progress,high,frame|underside|floor,
20260331_224439,20260331_224439.jpg,photos/20260331_224439.jpg,2026-03-31,22:44:39,photo,chassis_underside,frame_floor_underside_and_lines,underside_inspection,inspection_in_progress,high,frame|underside|floor,
