file_name,relative_path,component_group,stage,confidence,decision,reason,target_relative_path
20260331_224429_gp_4RQp2E6A.jpg,photos/20260331_224429_gp_4RQp2E6A.jpg,chassis_underside,underside_inspection,high,keep,keyword_car_match,
20260331_224431.jpg,photos/20260331_224431.jpg,chassis_underside,underside_inspection,high,keep,keyword_car_match,
20260331_224433_gp_2PUeZk7w.jpg,photos/20260331_224433_gp_2PUeZk7w.jpg,chassis_underside,underside_inspection,high,keep,keyword_car_match,
20260331_224436.jpg,photos/20260331_224436.jpg,chassis_underside,underside_inspection,high,keep,keyword_car_match,
20260331_224438_gp_0bs8KC2A.jpg,photos/20260331_224438_gp_0bs8KC2A.jpg,chassis_underside,underside_inspection,high,keep,keyword_car_match,
20260331_224439.jpg,photos/20260331_224439.jpg,chassis_underside,underside_inspection,high,keep,keyword_car_match,
20260331_224441_gp_gFInRo6Q.jpg,photos/20260331_224441_gp_gFInRo6Q.jpg,chassis_underside,underside_inspection,high,keep,keyword_car_match,
20260331_224442.jpg,photos/20260331_224442.jpg,chassis_underside,underside_inspection,high,keep,keyword_car_match,
20260331_224443_gp_jlw6aFUw.jpg,photos/20260331_224443_gp_jlw6aFUw.jpg,chassis_underside,underside_inspection,high,keep,keyword_car_match,
20260331_224445.jpg,photos/20260331_224445.jpg,chassis_underside,underside_inspection,high,keep,keyword_car_match,
20260331_224446_gp_jOLZmudg.jpg,photos/20260331_224446_gp_jOLZmudg.jpg,chassis_underside,underside_inspection,high,keep,keyword_car_match,
20260331_224452.jpg,photos/20260331_224452.jpg,chassis_underside,underside_inspection,high,keep,keyword_car_match,
20260331_224452_gp_VuNHBwZg.jpg,photos/20260331_224452_gp_VuNHBwZg.jpg,chassis_underside,underside_inspection,high,keep,keyword_car_match,
20260331_224459.jpg,photos/20260331_224459.jpg,chassis_underside,underside_inspection,high,keep,keyword_car_match,
20260331_224501_gp_FLnTBhyQ.jpg,photos/20260331_224501_gp_FLnTBhyQ.jpg,chassis_underside,underside_inspection,high,keep,keyword_car_match,
20260331_224905.jpg,photos/20260331_224905.jpg,chassis_underside,underside_inspection,high,keep,keyword_car_match,
20260331_224906_gp_kNRreMwg.jpg,photos/20260331_224906_gp_kNRreMwg.jpg,chassis_underside,underside_inspection,high,keep,keyword_car_match,
20260331_224908.jpg,photos/20260331_224908.jpg,chassis_underside,underside_inspection,high,keep,keyword_car_match,
20260331_224909_gp_ybAujInw.jpg,photos/20260331_224909_gp_ybAujInw.jpg,chassis_underside,underside_inspection,high,keep,keyword_car_match,
20260331_224911.jpg,photos/20260331_224911.jpg,chassis_underside,underside_inspection,high,keep,keyword_car_match,
20260331_224912_gp_ERzrS6gQ.jpg,photos/20260331_224912_gp_ERzrS6gQ.jpg,chassis_underside,underside_inspection,high,keep,keyword_car_match,
20260331_224927_gp_5hlhjfyg.jpg,photos/20260331_224927_gp_5hlhjfyg.jpg,chassis_underside,underside_inspection,high,keep,keyword_car_match,
20260331_224936.jpg,photos/20260331_224936.jpg,chassis_underside,underside_inspection,high,keep,keyword_car_match,
